file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\SmartTubeNext-master\smarttubetv\src\main\java\com\liskovsoft\smartyoutubetv2\tv\ui\webbrowser\WebBrowserActivity.java,com.liskovsoft.smartyoutubetv2.tv.ui.webbrowser.WebBrowserActivity,onCreate/1[com.liskovsoft.smartyoutubetv2.tv.ui.webbrowser.Bundle],FALSE,11,1,0,0,0,1,2,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,FALSE
C:\SmartTubeNext-master\smarttubetv\src\main\java\com\liskovsoft\smartyoutubetv2\tv\presenter\IconHeaderItemPresenter.java,com.liskovsoft.smartyoutubetv2.tv.presenter.IconHeaderItemPresenter,onUnbindViewHolder/1[Presenter.ViewHolder],FALSE,89,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,FALSE
C:\SmartTubeNext-master\smarttubetv\src\main\java\com\liskovsoft\smartyoutubetv2\tv\presenter\IconHeaderItemPresenter.java,com.liskovsoft.smartyoutubetv2.tv.presenter.IconHeaderItemPresenter,onCreateViewHolder/1[com.liskovsoft.smartyoutubetv2.tv.presenter.ViewGroup],FALSE,40,5,0,0,0,1,7,8,1,2,1,7,0,0,0,0,0,0,0,2,4,0,0,0,0,0,16,1,0,FALSE
C:\SmartTubeNext-master\smarttubetv\src\main\java\com\liskovsoft\smartyoutubetv2\tv\presenter\IconHeaderItemPresenter.java,com.liskovsoft.smartyoutubetv2.tv.presenter.IconHeaderItemPresenter,"onBindViewHolder/2[Presenter.ViewHolder,java.lang.Object]",FALSE,54,9,1,0,1,6,15,25,0,5,2,15,0,0,0,3,0,2,0,1,6,0,2,0,0,0,27,1,1,FALSE
C:\SmartTubeNext-master\smarttubetv\src\main\java\com\liskovsoft\smartyoutubetv2\tv\presenter\IconHeaderItemPresenter.java,com.liskovsoft.smartyoutubetv2.tv.presenter.IconHeaderItemPresenter,onSelectLevelChanged/1[RowHeaderPresenter.ViewHolder],FALSE,96,1,0,0,0,1,2,3,0,0,1,2,0,0,0,0,0,1,0,1,0,3,0,0,0,0,8,4,0,FALSE
C:\SmartTubeNext-master\smarttubetv\src\main\java\com\liskovsoft\smartyoutubetv2\tv\presenter\IconHeaderItemPresenter.java,com.liskovsoft.smartyoutubetv2.tv.presenter.IconHeaderItemPresenter,"IconHeaderItemPresenter/2[int,java.lang.String]",TRUE,34,0,1,1,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,10,1,0,FALSE
C:\SmartTubeNext-master\smarttubetv\src\main\java\com\liskovsoft\smartyoutubetv2\tv\ui\playback\actions\ThumbsDownAction.java,com.liskovsoft.smartyoutubetv2.tv.ui.playback.actions.ThumbsDownAction,ThumbsDownAction/1[com.liskovsoft.smartyoutubetv2.tv.ui.playback.actions.Context],TRUE,7,1,1,1,0,1,2,7,0,1,1,2,0,0,0,0,0,0,0,1,3,0,0,0,0,0,8,1,0,FALSE
C:\SmartTubeNext-master\smarttubetv\src\main\java\com\liskovsoft\smartyoutubetv2\tv\ui\playback\previewtimebar\StoryboardManager.java,com.liskovsoft.smartyoutubetv2.tv.ui.playback.previewtimebar.StoryboardManager,getFrameDurationMs/0,FALSE,101,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,0,FALSE
C:\SmartTubeNext-master\smarttubetv\src\main\java\com\liskovsoft\smartyoutubetv2\tv\ui\playback\previewtimebar\StoryboardManager.java,com.liskovsoft.smartyoutubetv2.tv.ui.playback.previewtimebar.StoryboardManager,"init/2[com.liskovsoft.smartyoutubetv2.tv.ui.playback.previewtimebar.Video,long]",FALSE,53,2,1,1,0,5,7,22,1,3,2,7,0,0,0,2,0,0,1,0,7,0,1,0,0,2,17,1,0,FALSE
C:\SmartTubeNext-master\smarttubetv\src\main\java\com\liskovsoft\smartyoutubetv2\tv\ui\playback\previewtimebar\StoryboardManager.java,com.liskovsoft.smartyoutubetv2.tv.ui.playback.previewtimebar.StoryboardManager,getSeekPositions/0,FALSE,115,1,1,1,0,3,0,6,2,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,5,1,0,FALSE
