file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\wvp-GB28181-pro-wvp-28181-2.0\src\main\java\com\genersoft\iot\vmp\gb28181\utils\NumericUtil.java,com.genersoft.iot.vmp.gb28181.utils.NumericUtil,isInteger/1[java.lang.String],FALSE,36,0,2,2,0,2,1,9,2,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,8,9,0,TRUE
C:\wvp-GB28181-pro-wvp-28181-2.0\src\main\java\com\genersoft\iot\vmp\gb28181\utils\NumericUtil.java,com.genersoft.iot.vmp.gb28181.utils.NumericUtil,isDouble/1[java.lang.String],FALSE,20,0,5,5,0,2,1,9,2,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,8,9,0,TRUE
C:\wvp-GB28181-pro-wvp-28181-2.0\src\main\java\com\genersoft\iot\vmp\conf\GlobalResponseAdvice.java,com.genersoft.iot.vmp.conf.GlobalResponseAdvice,fast/0,FALSE,63,3,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,TRUE
C:\wvp-GB28181-pro-wvp-28181-2.0\src\main\java\com\genersoft\iot\vmp\conf\GlobalResponseAdvice.java,com.genersoft.iot.vmp.conf.GlobalResponseAdvice,"beforeBodyWrite/6[java.lang.Object,com.genersoft.iot.vmp.conf.MethodParameter,com.genersoft.iot.vmp.conf.MediaType,java.lang.Class<? extends com.genersoft.iot.vmp.conf.HttpMessageConverter<?>>,com.genersoft.iot.vmp.conf.ServerHttpRequest,com.genersoft.iot.vmp.conf.ServerHttpResponse]",FALSE,33,8,4,0,4,6,7,19,5,2,6,7,0,0,1,0,0,0,3,0,2,0,2,0,0,0,27,1,0,FALSE
C:\wvp-GB28181-pro-wvp-28181-2.0\src\main\java\com\genersoft\iot\vmp\conf\GlobalResponseAdvice.java,com.genersoft.iot.vmp.conf.GlobalResponseAdvice,"supports/2[com.genersoft.iot.vmp.conf.MethodParameter,java.lang.Class<? extends com.genersoft.iot.vmp.conf.HttpMessageConverter<?>>]",FALSE,27,3,0,0,0,1,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,FALSE
C:\wvp-GB28181-pro-wvp-28181-2.0\src\main\java\com\genersoft\iot\vmp\conf\SystemInfoTimerTask.java,com.genersoft.iot.vmp.conf.SystemInfoTimerTask,execute/0,FALSE,27,3,8,0,8,2,10,15,0,4,0,10,0,0,0,0,1,0,1,1,4,0,1,0,0,0,12,1,1,FALSE
C:\wvp-GB28181-pro-wvp-28181-2.0\src\main\java\com\genersoft\iot\vmp\gb28181\bean\RecordItem.java,com.genersoft.iot.vmp.gb28181.bean.RecordItem,getSecrecy/0,FALSE,97,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,FALSE
C:\wvp-GB28181-pro-wvp-28181-2.0\src\main\java\com\genersoft\iot\vmp\gb28181\bean\RecordItem.java,com.genersoft.iot.vmp.gb28181.bean.RecordItem,setSecrecy/1[int],FALSE,101,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,FALSE
C:\wvp-GB28181-pro-wvp-28181-2.0\src\main\java\com\genersoft\iot\vmp\gb28181\bean\RecordItem.java,com.genersoft.iot.vmp.gb28181.bean.RecordItem,setStartTime/1[java.lang.String],FALSE,85,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,FALSE
C:\wvp-GB28181-pro-wvp-28181-2.0\src\main\java\com\genersoft\iot\vmp\gb28181\bean\RecordItem.java,com.genersoft.iot.vmp.gb28181.bean.RecordItem,setType/1[java.lang.String],FALSE,109,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,FALSE
