cbo,wmc,dit
3,10,1
2,6,1
3,3,2
10,55,2
5,6,1
1,3,1
2,3,1
4,5,1
3,5,2
2,7,4
2,1,2
7,41,2
3,11,1
1,3,1
10,64,2
4,4,1
0,3,1
10,60,2
2,2,1
7,21,1
3,1,2
1,4,1
6,9,3
8,53,2
4,11,2
1,1,1
8,321,2
8,247,2
11,61,2
10,52,2
4,33,1
0,4,1
2,1,1
5,2,1
1,4,1
1,4,1
4,26,1
1,4,1
3,80,1
1,2,1
5,35,1
1,2,1
1,4,1
7,17,3
3,4,1
3,3,1
13,75,2
4,9,1
4,9,1
3,5,1
9,53,2
3,5,1
10,61,2
10,56,2
3,2,1
3,1,1
3,2,1
3,2,1
3,2,1
2,8,3
5,11,1
8,38,3
0,3,1
12,24,1
1,25,3
1,4,1
1,4,1
1,4,1
4,7,3
10,73,2
1,4,1
1,3,1
1,25,3
7,32,2
1,4,1
11,82,2
0,3,1
10,64,2
5,29,1
4,5,3
4,8,1
3,4,1
4.231707317,24.92682927,1.5
