cbo,wmc,dit
0,1,1
0,1,1
7,2,3
1,1,1
0,1,1
0,1,1
1,1,1
0,2,1
6,5,1
2,1,1
0,1,1
0,1,1
1,1,1
1,1,1
3,1,1
0,1,1
0,1,1
0,2,1
0,2,1
0,1,1
0,1,1
4,2,1
0,2,1
10,33,2
14,29,2
0,2,1
0,1,1
8,2,3
0,1,1
7,8,1
0,1,1
10,2,2
2,1,1
0,1,1
0,2,1
0,2,1
3,1,1
0,2,1
0,1,1
0,1,1
0,1,1
0,2,1
0,1,1
0,2,1
0,2,1
1,1,1
0,1,1
0,1,1
2,1,1
2,4,1
0,1,1
0,1,1
1,1,1
8,14,1
0,1,1
2,4,1
4,5,2
3,4,1
0,1,1
1,3,1
15,30,2
0,1,1
0,1,1
0,1,1
0,1,1
0,2,1
0,1,1
6,6,2
0,1,1
1,1,1
9,11,2
0,1,1
1,1,1
4,1,1
0,1,1
11,35,4
3,1,1
0,2,1
0,1,1
4,1,3
0,1,1
11,10,2
1,1,1
2,1,1
3,1,1
2,1,1
4,3,2
0,1,1
1,1,1
2,1,1
1,1,1
6,8,2
3,1,1
5,4,2
2,1,1
3,1,1
2,1,1
14,3,1
21,34,2
2,4,1
0,1,1
5,11,2
17,54,2
0,1,1
2,1,1
0,1,1
21,39,3
0,1,1
2,1,1
2,27,1
4,10,1
7,10,1
0,2,1
0,1,1
0,8,1
24,35,2
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
11,11,2
0,1,1
0,1,1
0,1,1
4,21,1
0,1,1
0,1,1
0,1,1
4,9,2
3,1,3
3,5,2
0,1,1
0,1,1
0,1,1
8,7,2
0,1,1
0,1,1
5,2,3
7,13,2
0,1,1
7,8,2
7,6,3
7,11,1
5,10,3
0,1,1
0,1,1
0,1,1
0,1,1
1,1,1
2,9,1
0,1,1
0,1,1
0,1,1
0,1,1
3,1,1
1,1,1
0,3,1
0,1,1
0,1,1
0,1,1
1,1,1
10,2,3
1,1,1
0,1,1
0,1,1
15,4,1
0,1,1
1,3,1
9,11,4
2,1,1
1,1,1
1,1,1
1,1,1
0,1,1
11,2,5
1,1,1
8,3,2
0,1,1
2,3,2
3,2,1
1,1,1
2,1,1
1,1,1
2,1,1
0,4,1
0,1,1
0,1,1
3,1,3
6,8,2
0,2,1
0,8,1
0,1,1
0,1,1
0,1,1
2,1,1
0,1,1
13,31,5
3,2,2
0,1,1
0,1,1
1,2,1
0,1,1
4,8,1
0,1,1
0,1,1
0,1,1
0,1,1
6,10,2
1,1,1
1,1,1
2,1,1
2,1,1
5,9,1
14,38,2
3,3,2
11,53,2
0,2,1
5,2,2
7,3,3
2,1,1
0,4,1
0,1,1
12,16,2
1,1,1
2,1,1
1,1,1
0,1,1
0,1,1
9,2,2
0,1,1
1,1,1
0,1,1
7,3,1
1,1,1
1,1,1
2,1,1
3,1,1
4,1,1
3,2,1
0,1,1
1,1,1
0,1,1
0,1,1
1,1,1
2,1,1
3,1,1
0,1,1
1,1,1
2,1,1
1,1,1
3,1,1
10,17,2
3,1,1
3,1,1
2,1,1
3,1,1
1,1,1
1,1,1
0,1,1
0,1,1
0,1,1
1,1,1
3,2,1
0,1,1
0,1,1
0,1,1
0,1,1
2,1,1
3,1,1
0,1,1
0,1,1
0,1,1
1,3,1
2,4,1
2,1,1
4,1,3
0,2,1
4,3,2
2,1,1
10,2,5
1,1,1
1,1,1
4,5,2
6,2,2
15,4,11
1,2,1
8,11,2
21,21,14
3,1,1
39,158,1
1,1,1
0,1,1
0,3,1
14,32,2
0,1,1
0,1,1
3,1,1
0,1,1
0,1,1
3,1,1
2,1,1
0,1,1
4,8,2
1,1,1
4,3,1
0,1,1
1,1,1
0,1,1
1,1,1
0,1,1
0,1,1
12,25,2
0,1,1
1,1,1
1,1,1
0,2,1
0,1,1
0,1,1
21,20,2
0,1,1
0,1,1
2,1,1
1,1,1
1,1,1
2,1,1
1,1,1
1,1,1
1,0,2
3,4,1
7,5,2
0,1,1
2,1,1
13,25,2
4,5,2
0,1,1
0,3,1
2,1,1
2,1,1
3,1,3
7,2,2
0,1,1
1,2,1
0,2,1
3,1,1
2,1,1
3,1,1
3,1,1
2,1,1
3,1,1
0,1,1
4,9,2
0,1,1
2,1,1
5,28,4
0,1,1
1,1,1
9,13,1
5,24,2
9,33,3
3,1,3
2,1,1
16,55,4
0,1,1
2,2,1
8,3,1
2,2,1
7,2,3
0,1,1
1,1,1
14,2,3
0,1,1
0,1,1
2,1,1
7,1,2
2,2,1
2,1,1
7,7,2
10,4,2
10,8,2
3,2,2
2,1,1
11,3,6
2,1,1
0,3,1
9,11,2
3,2,2
1,1,1
0,4,1
0,3,1
5,4,2
3,2,1
0,4,1
0,3,1
2,2,1
0,1,1
0,1,1
2,1,1
13,69,2
4,1,1
4,2,1
0,1,1
0,1,1
0,2,1
0,1,1
5,6,1
6,8,1
0,1,1
0,1,1
7,7,2
2,1,1
0,2,1
1,1,1
1,2,1
7,13,1
0,1,1
1,1,1
1,1,1
2,1,1
0,1,1
1,1,1
1,2,1
2,1,1
0,1,1
2,3,1
1,1,1
1,1,1
1,1,1
1,1,1
0,1,1
2,1,1
3,1,1
1,1,1
1,2,1
1,1,1
1,2,1
0,1,1
1,1,1
0,1,1
0,2,1
4,11,2
0,1,1
0,2,1
0,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
0,1,1
1,1,1
0,1,1
0,1,1
1,1,1
1,1,1
0,1,1
2,4,1
0,1,1
2,4,1
8,9,2
2,1,1
2,7,2
1,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,2,1
2,2,1
0,1,1
0,1,1
1,1,1
10,7,7
0,1,1
1,1,1
2,1,1
0,2,1
1,1,1
1,1,1
0,2,1
0,2,1
0,1,1
0,1,1
4,6,2
25,75,2
2,1,1
0,1,1
9,23,2
5,2,2
7,4,2
0,1,1
0,1,1
2,1,1
0,1,1
0,1,1
14,4,2
1,1,1
0,1,1
0,1,1
14,4,1
5,6,2
7,9,2
1,1,1
1,1,1
1,1,1
0,1,1
28,70,2
13,33,2
8,14,2
3,2,3
6,10,3
1,1,1
0,1,1
4,1,1
2,1,1
1,1,1
