cbo,wmc,dit
3,1,3
17,10,2
2,1,3
15,33,1
2,1,3
0,6,1
2,1,2
3,3,3
4,6,2
13,23,1
10,26,2
27,70,2
14,21,3
8,12,2
5,4,2
1,7,1
1,2,1
1,1,1
2,0,1
9,5,1
10,44,1
4,34,1
4,5,4
3,2,1
3,2,1
3,1,2
2,2,1
3,3,1
1,1,1
3,2,1
1,1,1
5,1,1
4,5,1
4,5,1
4,2,3
0,1,1
6,8,2
2,1,3
2,0,2
28,116,2
2,3,1
4,4,2
5,6,1
1,1,1
17,35,6
2,10,1
10,11,2
5,31,2
5,2,1
3,2,1
3,4,2
4,1,1
4,1,1
5,3,1
7,7,1
15,62,2
10,14,2
4,3,1
4,3,1
5,3,1
5,6,3
25,32,3
24,44,5
6,16,2
4,1,2
12,2,2
6,14,2
22,30,3
4,3,1
6,9,2
3,10,2
16,42,1
24,18,4
2,1,2
1,7,1
0,1,1
4,6,2
3,1,2
4,4,3
10,7,1
3,4,3
2,1,3
2,1,3
14,36,2
6,2,1
8,5,2
7,5,1
28,55,3
2,1,1
1,3,1
14,42,1
2,2,1
27,54,3
2,0,2
5,2,1
2,1,2
3,1,2
6,16,2
15,29,4
2,3,1
8,7,2
2,4,1
2,1,1
3,27,1
2,1,1
3,2,1
9,9,1
1,3,1
2,1,1
4,5,1
3,2,1
4,2,3
5,14,1
1,1,1
2,1,2
1,1,1
23,67,2
3,2,1
3,2,1
8,4,1
13,8,3
3,4,1
3,3,2
1,1,1
1,5,1
12,14,2
6,12,2
1,1,1
12,5,2
5,2,1
6,5,3
5,2,1
14,18,3
12,64,3
1,2,1
13,16,2
2,1,1
2,1,2
2,1,1
6,3,2
3,1,2
2,6,1
9,25,2
5,4,2
5,4,3
4,6,2
2,3,1
10,10,2
2,1,2
1,5,1
11,20,3
14,28,2
2,2,1
1,2,1
2,2,1
6,8,4
2,3,1
5,2,2
18,85,1
3,1,2
2,6,1
7,4,2
1,0,2
7,11,3
2,4,2
4,5,1
5,9,2
9,10,3
2,1,1
5,6,1
13,30,2
6,6,2
4,5,2
7,17,1
5,2,1
3,1,2
1,1,1
3,2,1
20,62,4
16,11,3
9,8,1
5,4,1
4,3,1
1,3,1
1,3,2
1,1,1
10,6,2
4,3,1
20,35,2
8,27,3
17,30,3
0,1,1
6,5,2
3,2,1
5,7,2
5,5,2
72,258,5
4,2,2
10,10,2
2,1,2
6,8,1
16,30,1
3,3,3
2,0,3
10,11,3
1,1,1
1,3,1
1,1,1
2,1,2
0,2,1
5,2,1
3,3,3
0,0,1
5,14,2
11,5,2
5,2,1
4,2,2
2,1,2
32,38,3
3,1,2
5,4,1
8,6,1
7,16,2
1,5,1
9,8,2
5,2,1
13,11,5
5,11,1
9,24,2
1,1,1
2,1,1
1,2,1
4,2,1
5,2,1
2,1,1
0,1,1
2,1,3
2,1,2
3,3,2
1,3,1
8,4,1
5,2,1
8,26,2
2,1,1
4,1,2
3,1,2
24,33,2
1,1,1
2,1,1
2,1,3
10,14,2
3,2,1
2,1,3
15,17,3
1,3,1
1,1,1
4,6,2
8,4,1
2,1,3
3,2,1
11,7,1
5,2,1
1,6,1
0,1,1
4,5,2
10,22,2
2,1,3
0,30,1
2,19,1
5,4,2
3,2,2
1,1,2
4,3,1
13,16,2
21,91,2
29,135,2
11,44,2
0,1,1
1,1,1
0,1,1
1,8,1
3,12,1
6,2,1
4,4,3
0,1,1
4,4,1
1,8,1
1,1,1
4,3,1
1,1,1
4,57,1
3,2,1
8,6,1
6,1,1
13,14,2
0,2,1
3,1,1
4,5,1
6,4,2
13,14,4
15,23,1
3,3,3
12,6,5
2,30,1
1,3,1
2,2,1
1,1,1
48,139,5
5,3,1
3,1,3
9,33,2
20,58,4
4,3,4
2,0,1
19,49,5
15,31,2
2,2,1
23,3,2
3,7,1
6.285266458,11.39498433,1.739811912
